               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.017257,           0.0087259,           0.0013726,             0.88697,             0.86024,             0.91638,              0.7569,            0.014179,            0.004445,           0.0032487,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017535,            0.008602,            0.001261,             0.88339,             0.87017,             0.91738,             0.75592,            0.014188,           0.0045068,           0.0028798,            0.003367,            0.003367,            0.003367
                 136,            0.017128,           0.0085131,           0.0010939,             0.89101,             0.86387,             0.91307,             0.75194,            0.014061,           0.0045316,            0.002961,           0.0033175,           0.0033175,           0.0033175
                 137,            0.017497,           0.0086949,           0.0015307,             0.87841,             0.84574,             0.90501,              0.7556,            0.013911,           0.0045086,           0.0029578,            0.003268,            0.003268,            0.003268
                 138,             0.01772,           0.0088857,           0.0012881,              0.8676,             0.87819,             0.91871,             0.76167,             0.01408,           0.0044361,           0.0029202,           0.0032185,           0.0032185,           0.0032185
                 139,            0.016973,           0.0087193,           0.0012679,             0.90114,             0.84751,              0.9113,             0.76166,            0.013734,           0.0044322,           0.0027843,            0.003169,            0.003169,            0.003169
                 140,            0.016939,           0.0086334,           0.0010787,             0.88188,             0.87188,             0.90924,             0.75646,            0.013849,           0.0044489,            0.002988,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017097,           0.0084475,           0.0011177,             0.89832,             0.84822,             0.90447,             0.74934,            0.014248,           0.0045206,            0.002909,             0.00307,             0.00307,             0.00307
                 142,            0.017101,           0.0083423,           0.0013944,             0.86946,             0.86177,             0.90778,             0.75264,             0.01371,           0.0045434,           0.0027753,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017136,           0.0086151,           0.0010687,             0.90731,             0.83045,             0.91482,             0.75542,            0.013873,           0.0044362,           0.0029023,            0.002971,            0.002971,            0.002971
                 144,            0.016711,           0.0085311,           0.0011275,             0.89386,             0.84338,             0.91387,             0.75975,            0.013869,           0.0044144,           0.0030808,           0.0029215,           0.0029215,           0.0029215
                 145,             0.01685,           0.0082692,           0.0011508,             0.86804,             0.86906,             0.90915,             0.76093,            0.014038,           0.0044482,           0.0030436,            0.002872,            0.002872,            0.002872
